#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 04 00 30 999 99.0 99.0  2.21  5.56  5.68 220 9999.0  11.3  11.5 999.0 99.0 99.00
2022 01 04 01 00 999 99.0 99.0  2.22 15.38  6.06 273 9999.0  11.3  11.4 999.0 99.0 99.00
2022 01 04 01 30 999 99.0 99.0  2.21 15.38  6.07 267 9999.0  11.3  11.4 999.0 99.0 99.00
2022 01 04 02 00 999 99.0 99.0  2.42 15.38  6.52 274 9999.0  11.3  11.4 999.0 99.0 99.00
2022 01 04 02 30 999 99.0 99.0  2.37 14.29  6.36 268 9999.0  11.5  11.4 999.0 99.0 99.00
2022 01 04 03 00 999 99.0 99.0  2.61 14.29  6.85 276 9999.0  11.9  11.3 999.0 99.0 99.00
2022 01 04 03 30 999 99.0 99.0  2.66 14.29  7.21 276 9999.0  12.1  11.3 999.0 99.0 99.00
2022 01 04 04 00 999 99.0 99.0  2.84 11.76  7.55 278 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 04 04 30 999 99.0 99.0  2.73 11.76  7.67 282 9999.0 999.0  11.3 999.0 99.0 99.00
2022 01 04 05 00 999 99.0 99.0  2.84 12.50  7.80 284 9999.0 999.0  11.4 999.0 99.0 99.00
2022 01 04 05 30 999 99.0 99.0  2.60 14.29  7.78 280 9999.0  12.5  11.4 999.0 99.0 99.00
2022 01 04 06 00 999 99.0 99.0  3.08 13.33  8.80 283 9999.0  12.0  11.4 999.0 99.0 99.00
2022 01 04 06 30 999 99.0 99.0  2.88 13.33  8.66 280 9999.0  11.9  11.4 999.0 99.0 99.00
2022 01 04 07 00 999 99.0 99.0  2.87 12.50  9.01 287 9999.0  11.4  11.5 999.0 99.0 99.00
2022 01 04 07 30 999 99.0 99.0  2.91 13.33  9.34 280 9999.0  11.8  11.5 999.0 99.0 99.00
2022 01 04 08 00 999 99.0 99.0  2.87 15.38  9.29 280 9999.0  12.1  11.5 999.0 99.0 99.00
2022 01 04 08 30 999 99.0 99.0  3.09 14.29  9.91 278 9999.0  12.3  11.6 999.0 99.0 99.00
2022 01 04 09 00 999 99.0 99.0  2.76 13.33  9.48 280 9999.0  12.3  11.7 999.0 99.0 99.00
2022 01 04 09 30 999 99.0 99.0  2.85 14.29  9.69 280 9999.0  12.1  11.7 999.0 99.0 99.00
2022 01 04 10 00 999 99.0 99.0  3.00 13.33  9.97 280 9999.0  12.1  11.8 999.0 99.0 99.00
2022 01 04 10 30 999 99.0 99.0  3.41 14.29 10.77 277 9999.0  12.1  11.8 999.0 99.0 99.00
2022 01 04 11 00 999 99.0 99.0  3.68 15.38 11.05 275 9999.0  12.2  11.8 999.0 99.0 99.00
2022 01 04 11 30 999 99.0 99.0  3.24 15.38 10.80 271 9999.0  12.2  11.8 999.0 99.0 99.00
2022 01 04 12 00 999 99.0 99.0  3.65 16.67 11.19 270 9999.0  11.7  11.8 999.0 99.0 99.00
2022 01 04 12 30 999 99.0 99.0  3.59 15.38 10.91 271 9999.0  11.5  11.6 999.0 99.0 99.00
2022 01 04 13 00 999 99.0 99.0  3.89 16.67 11.74 273 9999.0  11.5  11.6 999.0 99.0 99.00
2022 01 04 13 30 999 99.0 99.0  3.70 15.38 11.11 277 9999.0  11.3  11.5 999.0 99.0 99.00
2022 01 04 14 00 999 99.0 99.0  3.54 15.38 11.06 275 9999.0  11.3  11.4 999.0 99.0 99.00
2022 01 04 14 30 999 99.0 99.0  3.52 15.38 11.39 274 9999.0  11.3  11.3 999.0 99.0 99.00
2022 01 04 15 00 999 99.0 99.0  3.34 14.29 11.04 280 9999.0  11.2  11.3 999.0 99.0 99.00
2022 01 04 15 30 999 99.0 99.0  3.49 16.67 11.14 275 9999.0  11.2  11.3 999.0 99.0 99.00
2022 01 04 16 00 999 99.0 99.0  3.49 16.67 11.36 270 9999.0  11.3  11.3 999.0 99.0 99.00
2022 01 04 16 30 999 99.0 99.0  3.53 16.67 10.97 269 9999.0  11.3  11.3 999.0 99.0 99.00
2022 01 04 17 00 999 99.0 99.0  3.52 15.38 11.10 267 9999.0  11.2  11.3 999.0 99.0 99.00
2022 01 04 17 30 999 99.0 99.0  3.22 14.29 10.82 274 9999.0  11.3  11.4 999.0 99.0 99.00
2022 01 04 18 00 999 99.0 99.0  3.01 15.38 10.62 270 9999.0  11.4  11.4 999.0 99.0 99.00
2022 01 04 18 30 999 99.0 99.0  3.30 14.29 11.07 273 9999.0  11.4  11.5 999.0 99.0 99.00
2022 01 04 19 00 999 99.0 99.0  3.15 14.29 11.00 269 9999.0 999.0  11.5 999.0 99.0 99.00
2022 01 04 19 30 999 99.0 99.0  3.34 15.38 11.32 273 9999.0  11.5  11.6 999.0 99.0 99.00
2022 01 04 20 00 999 99.0 99.0  3.11 15.38 10.84 269 9999.0  11.7  11.7 999.0 99.0 99.00
2022 01 04 20 30 999 99.0 99.0  3.10 15.38 11.03 273 9999.0  11.8  11.8 999.0 99.0 99.00
