#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 03 20 30 999 99.0 99.0  3.35 15.38 12.41 274 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 03 21 00 999 99.0 99.0  3.04 15.38 12.15 272 9999.0 999.0  11.1 999.0 99.0 99.00
2021 01 03 21 30 999 99.0 99.0  2.94 15.38 11.83 275 9999.0 999.0  11.1 999.0 99.0 99.00
2021 01 03 22 00 999 99.0 99.0  2.85 15.38 11.80 274 9999.0 999.0  11.1 999.0 99.0 99.00
2021 01 03 22 30 999 99.0 99.0  2.98 15.38 11.95 271 9999.0 999.0  11.1 999.0 99.0 99.00
2021 01 03 23 00 999 99.0 99.0  2.82 15.38 11.30 273 9999.0 999.0  11.1 999.0 99.0 99.00
2021 01 03 23 30 999 99.0 99.0  3.01 15.38 11.86 275 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 00 00 999 99.0 99.0  3.01 15.38 12.09 276 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 00 30 999 99.0 99.0  3.17 15.38 12.31 275 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 01 00 999 99.0 99.0  3.15 15.38 12.26 278 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 01 30 999 99.0 99.0  3.19 15.38 12.13 271 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 02 00 999 99.0 99.0  2.84 15.38 11.70 271 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 02 30 999 99.0 99.0  3.31 15.38 12.36 272 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 03 00 999 99.0 99.0  3.07 15.38 11.80 273 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 03 30 999 99.0 99.0  3.12 14.29 12.04 272 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 04 00 999 99.0 99.0  3.28 15.38 12.22 273 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 04 30 999 99.0 99.0  3.16 15.38 12.41 272 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 05 00 999 99.0 99.0  3.06 15.38 11.94 268 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 05 30 999 99.0 99.0  3.00 14.29 11.79 270 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 06 00 999 99.0 99.0  3.13 14.29 12.16 269 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 06 30 999 99.0 99.0  2.71 14.29 11.50 266 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 07 00 999 99.0 99.0  3.05 15.38 12.31 270 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 07 30 999 99.0 99.0  3.30 13.33 12.23 275 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 08 00 999 99.0 99.0  3.06 15.38 12.44 272 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 08 30 999 99.0 99.0  2.99 15.38 12.34 277 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 09 00 999 99.0 99.0  2.78 14.29 12.35 278 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 09 30 999 99.0 99.0  3.14 15.38 12.91 271 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 10 00 999 99.0 99.0  3.01 14.29 12.46 272 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 10 30 999 99.0 99.0  3.10 20.00 12.75 270 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 11 00 999 99.0 99.0  2.97 14.29 12.33 273 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 11 30 999 99.0 99.0  2.97 14.29 12.53 275 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 12 00 999 99.0 99.0  2.98 14.29 12.20 275 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 12 30 999 99.0 99.0  3.28 15.38 12.47 275 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 13 00 999 99.0 99.0  3.07 14.29 11.38 275 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 13 30 999 99.0 99.0  2.82 14.29 10.35 275 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 14 00 999 99.0 99.0  3.09 14.29 10.57 276 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 14 30 999 99.0 99.0  2.93 13.33 10.34 276 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 15 00 999 99.0 99.0  3.08 15.38 10.29 270 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 15 30 999 99.0 99.0  3.03 20.00  9.90 271 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 04 16 00 999 99.0 99.0  3.10 13.33  9.20 269 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 16 30 999 99.0 99.0  3.11 20.00  8.87 270 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 17 00 999 99.0 99.0  3.30 20.00  9.25 275 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 17 30 999 99.0 99.0  3.24 20.00  8.75 273 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 18 00 999 99.0 99.0  3.30 14.29  8.31 276 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 18 30 999 99.0 99.0  3.35 20.00  8.82 272 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 19 00 999 99.0 99.0  3.21 20.00  8.51 272 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 19 30 999 99.0 99.0  3.21 20.00  9.21 267 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 04 20 00 999 99.0 99.0  3.17 18.18  9.48 273 9999.0 999.0  11.0 999.0 99.0 99.00
